,no,author,content,true-author
137,00027,candidate00003," This one is easy, Texas Gas k#T018123 was recalled effective 12/14/01. ",candidate00003
138,00028,candidate00003, The sale to PSE&G is in the New York book. is trying to get Transco to bill PSE&G directly for the demand charge. We are still waiting to hear from Transco. ,candidate00003
139,00029,candidate00003," The prepay to Reliant for Thur April 11th is $22,000. I left the Cash Request on 's desk. , please leave the wire on my desk in the future. I need to get to sign before it goes to Sewell. ",candidate00003
140,00030,candidate00003," ENA has an approximate cash balance of $58,000 with Reliant after purchasing the 2,000 dth for tomorrow. verifed receipt of the $1.7 million wire made last Thursday. THANKS MELISSA!! Let me know if anyone has questions. ",candidate00003
141,00031,candidate00003," I've attached the prepayment request. The physical address for the bank is Tennessee Gas Pipeline Company C/O Bank Of America File #96264 840 S. Canal Street, 6th Floor Chicago, IL 60693 The address of the company we are doing business is Tennessee Gas Pipeline Company Nine Greenway Plaza , TX 77046 The person I negotiated the deal with is Armstrong, his number is 832-676-5120. The person at El Paso Corporate Credit (Tennessee is a sub of El Paso) is Baker, her number is 713-420-7446. , at El Paso said the only reason she is requiring a prepay for this small an amount is because her records show that ENA has not paid any monies for anything on the El Paso pipelines, including Tennessee, Sonat, ANR, or El Paso Pipeline. I know that we should have at least paid for the Bear Creek storage on Tennessee. ",candidate00003
142,00032,candidate00003, The volume on the deal listed below was changed from 6172 to 8240 per day. Please forward to Storey's book admin. ,candidate00003
143,00033,candidate00003, Let me know if you want to be added to this distribution list. I should only send this list out 2 or 3 times a week now that we have a process down. ,candidate00003
144,00034,candidate00003," , I have the Boston Gas confirmation letter. Thanks. Kimat, are you familiar with the Boston Gas worksheet Jenkins would update to calculate the Tenn Z6 city gate price? It wasn't very big, and would have me verify the Iroquois and Tenn transport variable cost. ",candidate00003
145,00035,candidate00003, does that mean we don't have to count half day tomorrow or all day Friday then I'm even? ,candidate00003
146,00036,candidate00003," , would you call Wheeler at Reliant to discuss the volume discrepancy on 2/27/02. Her number is 713-207-6790. I believe she said that if we provide them with pipeline support from Tallahassee, they will adjust our bill. Thanks. Keep me posted. ",candidate00003
147,00037,candidate00003, Necessary items for the baby are down below with blue web links. ,candidate00003
148,00038,candidate00003, Sending via Microsoft Outlook. Does this work? $3.7875 by $3.7925 ,candidate00003
149,00039,candidate00003," Tenn Net 284 Contract Commodity $.0000 ACA $.0021 GRI $.0055 Total $.0087 Fuel 1.31% Commodity $.0036 = .003 -.0001 + .0007 ( RTS Commodity - TCRA + Deferred Asset Surcharge) ACA $.0021 GRI $.0000 Note: GRI does not apply on this path because Iroq delivers gas to Tenn at wright (non GRI point) Total $.0057 Fuel .5% Note: The Iroq Tariff allows them to charge up to 1% fuel, but I believe the max is 1% for Zone 1 to Zone 2 and .5% for Zone 1 to Zone 1 but I didn't read that in the tariff. I think Iroq might have told me that back in normal times. ",candidate00003
150,00040,candidate00003, 37147 IPP agreement - our pooling contract. 39149 AS agreement - 66917 AS agreement - I think the AS agreements are aggregation supply and I believe the wellhead meters were attached to these contracts to help with allocations and billing. I not 100% sure so I left a message for our CGAS contact to verify. ,candidate00003
151,00041,candidate00003," o:/logistics/capacity/east/ne/2001tran05.xls We creat a new sheet each month. And the the last 2 digits are the month - ""05"" = May get it get it get it? Anyone can pull this file up. You need a password to open the file and make changes. The password is the file name. I just didn't want people to make changes by accident (which I have done myself). ",candidate00003
152,00042,candidate00003," http://www.energyjobsnetwork.com/home.asp?code=enl Title: Marketing Gas Supply Representative Location: , TX Job Number: Sector: Natural Gas Occupation: Administration / Clerical Education: Bachelors/preferred in Marketing/Finance/Accounting Description: Marketing liaison for Mid-Continent Division Production Operations, Accounting, Gathering, Scheduling, and Contract Administration functions including the following: Responsibility for Well Operator functions - prepare and distribute monthly Co-owner Availability reports, administer wellhead imbalance make-up, maintain WIO market elections in VMS system as necessary. Responsibility for Gas Gathering functions - wellhead receipt / delivery point scheduling and imbalance management for assigned systems. Responsibility for Contract Administration functions - maintenance of wellhead sales pricing, gathering costs, and contractual obligations to royalty owners and taxing authorities. Skills Required: BBA degree preferred (Marketing / Finance / Accounting) Working knowledge of gas producer functions including division order / wellhead settlement / gas supply / nomination processes. 2 years industry experience preferred. Gas pipeline accounting experience a plus. Familiarity with Anadarko Basin area gathering systems a plus. Working knowledge of software applications including Excel, Word, Access, XPRT, and EBBs. Understand and analyze business strategy/objectives, exercise independent judgment, make effective decisions and recommendations with minimal input. Demonstrate high versatility and professional demeanor as changing priorities and job requirements dictate. Strong written and oral communications skills. <http://www.br-inc.com> Save to myJobs <trackjob.asp?jobid=3072> | Apply For Job <apply.asp?jobid=3072> <http://www.energynewslive.com> <http://www.energynewslive.com> Privacy Policy </privacy.asp> | Legal Statement </disclaimer.asp> support@energyjobsnetwork.com <mailto:staff@energyjobsnetwork.com> or call 1-866-356-2638 ",candidate00003
153,00043,candidate00003," To my knowledge that capacity is still valid. It's one of Connie Moody's leftover contracts for 117 dth. , I had asked Linder? at Nat Fule about Nat Fuel taking this capacity back or at least including it in an open season several times. He never did anything with it. ",candidate00003
154,00044,candidate00003, ahhh just like a woman. although i have many of those sensitive feeling you know. ,candidate00003
155,00045,candidate00003, Robin confirmed that we did receive the payment from CMS. This is the amount we invoiced CMS or the Michcon storage gas. Thanks Robin! ,candidate00003
156,00046,candidate00003, I didn't call to check on this but I've never seen an email like this from CGAS. I just thought it was interesting. ,candidate00003
157,00047,candidate00003," you know the talking part is hard because its so quiet here and i know some people just listen to other folks conversation to see whats going on. it makes it a little harder to chat and I'm kinda self conscious about it. i don't know why it seems so awkward here and not in the other building. oh well, YOU ARE MY HONEY!!!!!!!!!!!!!!!!!!!!!!!!!!! ",candidate00003
158,00048,candidate00003," I'm leaving for the day. All of my notes are on the word document. I just spoke with my contact at Columbia Gas and she suggested that we call Columbia Gas's in-house counsel to discuss the issue. I just update my word document with that information. , you may receive this email before I get to your office. I will hand deliver the following items; 1. The word document attached to this email 2. Copy of the Columbia Gas PAL and FTS rate shedule from their tariff 3. Copies of the 2 PAL's contracts that ENA is trying to utilize 4. A copy of 1 of our FTS contracts 5. Select sheets from Columbia Gas's tariff that apply to Creditworthiness. , I will be in on Wednesday to resolve this issue. Then I will be taking ALL OF MY 2000 vacation until it runs out, which will be sometime during the second week of Jan. ",candidate00003
159,00049,candidate00003," Hey buddy. Please allocate the followin deals to 0 for the 9th only. My mistake and I will owe you for life. deal 720977, 720959, and 720986 ",candidate00003
160,00050,candidate00003, Joe Zandt with Dominion Field Services wants to know if we are going to nominate his gas for the first. Their are 3 fixed price deals and 1 Index + $.10 deal. I can't find the deals in the system. What should I tell him legally besides NO? ,candidate00003
161,00051,candidate00003, I just received a copy of the executed Reliant agreement today. Do you want a copy? ,candidate00003
162,00052,candidate00003," That would be great if you could tell me. I show we wired $22,500.00 at 12:00 PM on the 6th, and we should have wired $20,000.00 around 3:30 PM on the 8th. I would be happy to include you on the schedule below that I email to and showing this activity. Let me know. You might let your accounting department know that we plan on wiring money to Reliant every Thursday, enough money to cover supply for the next 7 days. ",candidate00003
163,00053,candidate00003," Beginning Wednesday, April 4th, El Paso will be taking 3,373 Dth per day from DRN #716, contract #101067. El Paso will scheduling the gas on contract #5207. Thanks everyone. ",candidate00003
164,00054,candidate00003," Today we discovered that ENA has 310,000 MMBtu parked with The Consumers' Gas Company Ltd. (an affiliate of Enbridge Inc.) at that needs to be withdrawn by March 31, 2002. White (403-508-3184) at Enbridge faxed me their confirmation. According to , this gas was parked in May and June 2001. Per Enbridge's confirmation, ""Customer shall pay Enbridge a fee of $.22 US/MMBtu...prorated over 12 months"". The confirmation makes it clear that March withdrawals are interruptible. didn't know if ENA has paid the fee but he is letting ENA take this gas for March!!! So far have not been able to find a deal ticket in Sitara or tagg that Tomorrow, I will get bids from some of the companies ENA has done business with in the past at . Before I sell the gas, I will 1. verify the creditworthiness of the company we are selling to 2. make sure the company we are selling to agrees to pay us for the gas and doesn't net this with some other item. , the point we are selling the gas at is which is in Canada. Are there any special tax issues to address? Any comments or questions? Listed below are some of the companies ENA has done business with at AEP Energy Services, Inc. Aquila Canada Corp. BP Canada Energy Company Cargill Energy Trading Canada, Inc. CMS Marketing, Services and Trading Company CoEnergy Trading Company Consumers Energy Company Consumers Gas Company Ltd., The Coral Energy Canada Inc. Energy Marketing Limited Partnership Energy Trading and Marketing, L.L.C. Dynegy Canada Inc. Dynegy Canada Marketing and Trade, a division of Dynegy Canada Inc. El Paso Merchant Energy, L.P. Engage Energy Canada L.P. Nexen Marketing PanCanadian Petroleum Limited PG&E Energy Trading, Canada Corporation PG&E Energy Trading-Gas Corporation Phibro Inc. Reliant Energy Services, Inc. Sempra Energy Trading Corp. TXU Energy Trading Canada Limited WPS Energy Services, Inc. ",candidate00003
165,00055,candidate00003," I am releasing the Boston Gas capacity on Iroquois (k#125008) and Tennessee (k#29667) for April to Boston Gas. I am releasing the capacity prearranged, subject to bid, minimum bid of 100% of max rate with Boston Gas as the prearranged bidder. Bidding will end on Monday, March 25th. Submitted Iroq offer #50169 on 3/21/02 Submitted Tenn offer #29667-6 on 3/21/02 ",candidate00003
166,00056,candidate00003, I changed the meter numbers on the following deals. Please check the hedges. Deals 816519 and 816524 ,candidate00003
167,00057,candidate00003, I'll be taking off the 1/2 day next Tuesday April 16th and all day next Friday April 19th unless someone has pressing needs. Kelly will be backing me up on all gas activity next Friday. ,candidate00003
168,00058,candidate00003," I hope you are getting somewhere because this is getting annoying. First he wouldn't send me anything, now they are all over it when he should have just sent me something to begin with. ",candidate00003
169,00059,candidate00003," ---------------- AEP Energy Services AEP Energy Services, a top five Natural Gas Trader is looking to expand gas operations in our , Texas and , Ohio Offices. AEP Energy Services, Inc. is a national energy company engaged in the marketing and trading of energy commodities and related services. Specifically, the company analyzes and projects current and future market clearing prices for various energy commodities; trades energy commodities and associated financial instruments in both regional and national energy markets; and, markets energy supplies and related services to both the wholesale and large industrial segments of the energy market. AEP Energy Services, Inc. is a wholly owned subsidiary of American Electric Power (AEP), one of the nation's largest investor owned utilities. Current opportunities include: Commercial Gas Traders / Gas Controllers Marketers Mid-Office / Risk Natural Gas Liquids Traders, Management Crude Oil Traders I.T. Gas Infrastructure Support Business Development Professionals Weather Derivatives Gas Accountants Gas Operations / Logistics Financial Accountants Professionals who have an interest in any of these areas listed should submit a resume to: AEP Employment Center / S.A.M. 1 Riverside Plaza , Ohio 43215 Email: recruitersam@AEP.com Equal Opportunity Employer ",candidate00003
170,00060,candidate00003, I just received a call from Taylor at National Fuel. She told me that contract B00693-038181 was recalled effective 1/1/2002. This was capacity we received from AEC - one of those producer netback deals. ,candidate00003
171,00061,candidate00003, Lunch on Friday sounds great. Looks like I'll be walking over again today without my buddy. He works for Northern and he's waiting for a termination letter from and an offer letter from Dynegy. Maybe I'll see you there!!! A fellow can always hope. Indrid still hasn't got me a rind either. I bet she doesn't marry me now. ,candidate00003
172,00062,candidate00003," I have the gas Sales Invoice List Report that you just gave , I think. Would it be possible to format this with the deal numbers, or give me the invoices so I can see the deal numbers? ",candidate00003
173,00063,candidate00003," I have some really bad news. My little girl, when she makes a frown face, she looks just like her Uncle Jerry. I think that's a very bad sign. She weighs 7 lbs 4 ozs as of today. ",candidate00003
174,00064,candidate00003, Should I go in and fill this out or is it to late for our group? ,candidate00003
175,00065,candidate00003," , I will drop my wire amount for Thursday if Tallahassee does not call on the gas next week. I need to research how much gas Tallahassee has taken in the past on the swing contract. ",candidate00003
176,00066,candidate00003," , what are the contract numbers that the producer's gas gets allocated too? ",candidate00003
177,00067,candidate00003," Ok, I would like to go over a couple of things this afternoon if possible. I'll try to come down for 30 min or so. ",candidate00003
178,00068,candidate00003, Hey woman. Have I told you what a good person you are? You're sweet. I have plans on Friday but be sure to give a great big hug from ME!!!!!! And thanks for thinking of me when you sent out this email. Later Gator ,candidate00003
179,00069,candidate00003," ditto :) See that means I'm like Swazzie in the movie Ghost. He was way toooo macho to use the love word so he came up with an acceptable alternative. But if I die and I come back to haunt you, I won't be using the word ditto. I'll probably make reference to a Shetlon Pony. That way you will know its me. ",candidate00003
180,00070,candidate00003, Who do I talk to over there about buying gas on Florida in Zone 2? And it was very nice to see you today. ,candidate00003
181,00071,candidate00003," Your cigars from Teal Lodge are in my drawer, both are in metal cases if you come by when I'm not here. ",candidate00003
182,00072,candidate00003," I would like to RSVP for the Zippers concert at the Hyatt Regency on Wed May 1, 2002. ",candidate00003
183,00073,candidate00003," I've requested a prepayment of $10,000.00 to be sent tomorrow and I have that on my schedule. ",candidate00003
184,00074,candidate00003," Hey there. Got your message. I'll get you the numbers by tomorrow afternoon, maybe today. ",candidate00003
185,00075,candidate00003, I just got a call from the guy that asked me to work on the Texas Desk. He just eliminated my position and I think he may be making another cut or two as well. ,candidate00003
186,00076,candidate00003," Robin is at home. She tried to call you this morning and I suggested that I just send you an email of some of the items she wanted to discuss and you could call her when you have time. , , didn't know if you had her number on file. Her number is 713-721-0709. GELP - Gordonsville Energy, L.P. (deal 599653) CALP - Commonwealth Atlantic Limited Partnership (deal 599646) ",candidate00003
187,00077,candidate00003," Yesterday Drapper (sits a few rows over from us and works for EES) asked me what the status was with the Dominion producers. I told him we were still waiting for Dominion to call us back. He said that Holmes told them to ""just pay the producers"". I told that I wouldn't do anything without knowing what and legal are doing. Sounds like a little tendency to ""split up"". Just like the old days. ",candidate00003
188,00078,candidate00003," Robin Barbe is a Northeast originator and I'm sure she will be interested too. Remember, steak dinner for the WINNER!!!!! ",candidate00003
189,00079,candidate00003, I missed this. Looks like IT will not flow through St 90 ,candidate00003
190,00080,candidate00003," HEY GIRL. It's so good to hear from you. Let's see, I'm still here. I work on the estate team which means I work on the old stuff until they tell us to leave. My buddy Goodell is will be working for NewCo (The New Company - is this original or what). They should find out something in the next couple of days I think. Other than that its just hand around and see what happens. So did you make good grades? What's that report card looking like. How's the hubby? You still in love or what? ",candidate00003
191,00081,candidate00003," 't send this out because its not complete. I'll finish it tomorrow but I wanted you to have it in case I get hit by a bus or something. good nite Sonat Park & Loans 2/19/02 History - Per Dyer at Sonat (205-326-2007) ENA has 2 Park & Loan (PAL) contracts with Sonat. All PAL's with Sonat are under master contract PAL1001. Sonat assigns a deal number to each deal under this contract. Deal #1424 - ENA borrowed a total of 96,000 dth from Nov 3rd-5th and has not paid this back. ENA still owes Sonat 96,000 dth. Deal #1222 - ENA parked 309,192 dth in August to come out in Dec 2001 or Jan 2002. Sonat let ENA withdraw 42,951 on 11/29/01 leaving a balance of 266,241 dth. In Jan 2002, ENA withdrew 8,588 dth per day for the 1st-9th. That left a balance of 188,949 dth. On Jan 8th, 2002, Sonat sent a letter stating that Sonat will hold on to the remaining to balance to offset 1) the Loaned gas on deal #1424 (96,000 dth) and 2) to offset gas Sonat sold to ENA in October 2001 that ENA has not paid for. According to Sonat, the remaining balance on this deal is 92,949 dth = [309,192 parked in Aug - 42,951 w/d in Nov - 77,292 w/d in Jan - 92,000 balance on #1424]. Other items; ENA purchased system supply from Sonat in October 2001. ENA purchased 286,998 at an average price of $3.063 = $879,030.42. According to Sonat, ENA did not pay for this before declared bankruptcy. ENA also sold Sonat gas - 16,000 dth day at $2.885 (sitara #1172076) in January 2002 and 10,000 dth day at $2.955 in May 2002 (sitara #1172087). ",candidate00003
192,00082,candidate00003, I don't see you on MSN. My time free's up after 9:00 in the morning. Tallahassee has to call on the swing gas by then. ,candidate00003
193,00083,candidate00003, They are starting on the 4th. I thought I told him the 3rd but I may have made a mistake. My fault. ,candidate00003
194,00084,candidate00003, Kaiser at UBS said we should speak with McDonald at Tallahassee and that McCullers (my contact) would be able to give us his number. I just left a voicemail for McCullers - asking for 's phone number and title. ,candidate00003
195,00085,candidate00003," When: Thursday, May 09, 2002 11:00 AM-12:00 PM (GMT-06:00) Central Time (US & Canada). *~*~*~*~*~*~*~*~*~* ",candidate00003
196,00086,candidate00003," I just got a call from Hyatt, Director of Marketing at TW. He said that Sempra just called him and wanted to know why WE locked the points on the contract in our posting. I told him we locked them because we didn't want to get billed a potentially higher rate. 1) This guy acted like he knew me and of course I was embarrassed so I acted like I knew him, AND I DON'T EVER REMEMBER TALKING TO THIS GUY. He knew that I had gone to EES and that was back in 1997-1998. 2) Sempra told that we would get more value if we let someone change the points. I wonder, even though we might get billed max rate, would it be possible to allow the replacement shipper to change the points for ""the term of the release only AND the releasing shipper would be billed more that max rate"" and that way the capacity would go back to its original contract points in October. Just a thought. ",candidate00003
197,00087,candidate00003," , use this as a starting point for the payment to Tennessee. Make sure you copy Magaret Dhont and Wynne on this. ",candidate00003
198,00088,candidate00003, Thanks for the files. I'm going to send you questions as I come accross them. In file AppalPay200112.xls on tab CGASVol There are 2 meters with volumes that are not on my master file list. Please let me know if this data should be included. Meter 632571 for 7 dth. Meter 730935 for 114 dth. I missing the following from Gatherco0001 Meter Vol 735479 14 732211 5 731780 913 731779 236 730681 149 722752 517 722123 257 720942 843 720584 226 722481 38 ,candidate00003
199,00089,candidate00003," I have 2 email addresses. chris_germany61@hotmail.com <==primary email address. trogg522@aol.com I know, where did I come up with a name like trogg522? My apartment is only 522 sq ft and it makes me feel like a caveman (TROGG). ",candidate00003
200,00090,candidate00003, Did mine. Need to do one for this person in risk management. I finished at 12:15 ,candidate00003
201,00091,candidate00003, What do you guys think about the following set ups for the Egan park and loan contracts? Parking Loaning Pipe Code EGHP EGHP Firmness IT IT Service Type Interruptible Parking Service Interruptible Loaning Service Rate Schedule IPS ILS Term Term Term Contract # EGHP IT Parking - 001 EGHP IT Loaning - 001 ,candidate00003
202,00092,candidate00003, just called me and said she is the CAO for ENA and she should be the one to sign off on the wire requests. I didn't know. ,candidate00003
203,00093,candidate00003," The End Date on the following Park & Loan contracts has been extended from 9/30/01 to 10/31/01. Contract Deal 37874 1075382 37875 1075388 37876 1075391 37877 1075393 37878 1075407 37879 1075408 I had to create new sitara numbers because the old deal numbers were ""Baseload"" instead of ""Term"". ",candidate00003
204,00094,candidate00003," Please take away my access. And I believe the following people are no longer with , Cuilla, McKay, Plachy, Pollan, and Ruscitti. ",candidate00003
205,00095,candidate00003, i deleted the email but i still had this open. LUCKY YOU ,candidate00003
206,00096,candidate00003, IT FT Fuel FT Demand Onshore-Mainline .0387 .004 .697% $1.0603 = $.0349 per day Mainline-Leach .1225 .0191 2.902% $3.145 = $.1035 per day All rates include ACA but no GRI. ,candidate00003
207,00097,candidate00003," Yes maam, she's UBS now. She was just down here too. ",candidate00003
208,00098,candidate00003, I'm not sure what you mean by valid. We are not physically flowing any of this gas right now. There are some small Appalachian producers on here that are still up in the air but we will probably reject those contracts anyway. ,candidate00003
209,00099,candidate00003," I did take a look at the $139,000 home. This house has been on the market for awhile. The backyard sits next to some big building - that's a bad thing. I have not had a chance to look at the other house - the sq footage seems really small though. Based on what I've seen over the last 8 months, it would take something around $190's - $205's to make me happy and I'm not willing to spend that much right now. Another thing that bothers me is the economy. All I hear about are layoffs. The only industry still booming is the energy industry and we keep streamlining. That's what keeps me from spending the big bucks on a house. Thanks for the info though. ",candidate00003
210,00100,candidate00003, I'm going to a Unitariean church on Sunday. Not happy about it either. ,candidate00003
211,00101,candidate00003, Thanks for the invoices and the Tidelanders Chorus info. You gave me Feb and Mar 2002. Do you have the Dec 2001 and Jan 2002 invoices? ,candidate00003
212,00102,candidate00003, YES. I think we spent an hour and half at ??babie r us on hwy 59 sunday. Didn't know if i was going to survive. ,candidate00003
213,00103,candidate00003," and Dykman (attorneys for Boston Gas Company) approved all of our changes on the agreement to release the Tenn and Iroq space back to Boston Gas. They also made one other change, they are taking out the ""subject to recall"" language at the bottom of page 2 under item #1. They will be sending the revised document to me. I will deliver it to you for your approval. ",candidate00003
214,00104,candidate00003," Sold TXU 10,000 dth of Cayanosa for 5/1/02 at $3.45. I actually sold TXU the gas yesterday and I didn't want to change the volumes for the 1st. Let me know if you want to sell more than 10,000 for the 2nd. ",candidate00003
215,00105,candidate00003," Sounds like they are having fun! I lucked out, I have a doctor appointment at 2:15 PM today. This is with my specialist up on 1960. ",candidate00003
216,00106,candidate00003," FYI, ENA has (or had) about 50,930 of primary receipts at Venice. ",candidate00003
217,00107,candidate00003," Have we flowed any IT transport on the East Desk pipelines for the month of January? I think the answer is no but I wanted to double check? If we did, then I need to know the pipeline, contract number and probably the volume. Thanks. ",candidate00003
218,00108,candidate00003, SWEET CAKES!!!!!!!!!! I'm ok. Still looking for employment opportunities. Give the kitties a squeeze for me! ,candidate00003
219,00109,candidate00003," Our Texas Gas contract for Nov-Mar is k# T0181760000. Our MDQ is 18,000 dth per day and the demand charge is $.01 per dth. ",candidate00003
220,00110,candidate00003, I don't see you on MSN?!?!?!?!?!?!?!!?!?!?!??!?!?!?!?!? ,candidate00003
221,00111,candidate00003, I think you will be happy with me. I believe I was able to release the capacity for April under offer #50169. ,candidate00003
222,00112,candidate00003," I asked Mann about that and she said that if we want the gas for April then we should continue with ""business as normal"" which means we pay for the whole month since that is what we've been doing. She felt that paying for the whole month was better than paying for just 5 days worth of gas. , I gave this info to before he went to the cash meeting. This was just in case you had the same question. ",candidate00003
223,00113,candidate00003, These are all the people I have been working with lately. ,candidate00003
224,00114,candidate00003," that sounds good to me, unless i hear from you in 30 min or so i'll toss what we have from them. ",candidate00003
225,00115,candidate00003, Guess I won't need you tonight. My woman and I are going to a movie. ,candidate00003
226,00116,candidate00003, I'm waiting to hear from . I'll definitely let you know what happens. thanks. ,candidate00003
227,00117,candidate00003, Please bookout the following deals; Deal 643754 with deal 759487 for May and June. ,candidate00003
228,00118,candidate00003," We have an discount on Tenn, for the 25th only. k#2891, MDQ = 5000, rate = $.30, Receipt point = Z0, delivery point = Tewksbury in Tenn Z6. ",candidate00003
229,00119,candidate00003, Just heard from Robin. Sad stuff. My MSN doesn't work. ,candidate00003
230,00120,candidate00003," Sold 10,.000 dth of Conger gas to TXU for 4/25 at $3.29 ",candidate00003
231,00121,candidate00003, I tried to call you to hassel you again. The phone rang 3 times and I hung up. ,candidate00003
232,00122,candidate00003, Yes I did but....we lost our list of who gave us what. All though its pretty easy to see who gave me the litte Duff with the black nose. ,candidate00003
233,00123,candidate00003, I received another voicemail notice on my pager yesterday afternoon. Have you had any luck with this? How about this? Do you know how long I'm going to be employed for? Any news at all? ,candidate00003
234,00124,candidate00003, I posted the April TW capacity. 11:50 AM left a voicemail for Williamson at BP Amoco 11:52 AM left a voicemail for Eason at Burlington Reames is on maternity leave for 12 weeks . ,candidate00003
235,00125,candidate00003," Updated schedule through Thursday, Feb 28th. ENA will wire $19,000.00 to Reliant tomorrow afternoon. ",candidate00003
236,00126,candidate00003, You like (cat) attitude don't you? And what makes you think my stomach is cushy?????? ,candidate00003
237,00127,candidate00003," , we have a deal on Trunkline where Midland can request up to an additional 1,700 per day and it could be just 1 day over the weekend too. Reliant has storage that can flow into Trunkline Wla. We don't have a pricing mechanism in place so its pretty much automatic and Reliant can bill us whatever they want. If it ever happens on the weekend, and I will discuss the pricing the following Monday. Its only happened once in the last 2 months but YOU NEVER KNOW, especially if it happens on the weekend. If I remember correctly, Midland would call and would call Reliant. Are we sill set up that way? ",candidate00003
238,00128,candidate00003, victory and mandy's registration crate & barrel Sonoma ,candidate00003
239,00129,candidate00003, I thought yesterday was going to be our last day but now I think today is it. This has turned out to be very frustrating ,candidate00003
240,00130,candidate00003, I can't believe it. I'm having the same trouble again this month. I use this board about twice a month. ,candidate00003
241,00131,candidate00003, I'll be right over wearing a cleaning lady skirt - just for you. ,candidate00003
242,00132,candidate00003," The CIA had an opening for an assassin. After all of the background checks, interviews, and testing were done there were three finalists...2 men and a woman. For the final test, the CIA agents took one of the men to a large metal door and handed him a gun. ""We must know that you will follow your instructions, no matter what the circumstances. Inside of this room, you will find your wife sitting in a chair. Kill her!!!"" The man said, ""You can't be serious. I could never shoot my wife."" The agent said, ""Then you are not the right man for this job."" The second man was given the same instructions. He took the gun and went into the room. All was quiet for about 5 minutes. Then the man came out with tears in his eyes. ""I tried, but I can't kill my wife."" The agent said, ""You don't have what it takes. Take your wife and go home."" Finally, it was the woman's turn. She was given the same instructions, to kill her husband. She took the gun and went into the room. Shots were heard, one shot after another. They heard screaming, crashing, banging on the walls. After a few minutes, all was quiet. The door opened slowly and there stood the woman. She wiped the sweat from her brow and said, ""This gun was loaded with blanks. I had to beat him to death with the chair."" Moral: Women are evil. 't mess with them. ",candidate00003
243,00133,candidate00003, and I have wires request for you and we don't know where you sit now. Where are you? ,candidate00003
244,00134,candidate00003," , doesn't matter to me. You pick - Mr. Goodell or someone else. ",candidate00003
245,00135,candidate00003," <http://hometown.aol.com/trogg522/myhomepage/index/html> Hey, I hope the web link above works. It takes forever to respond when I log into 's email and hit reply. ",candidate00003
246,00136,candidate00003, I guess you don't have pictures for me do you? I saw Wood Tuesday evening at a little resteraunt on Westheimer called Paulie's. Do you care? ,candidate00003
247,00137,candidate00003," I didn't send this yet and I have not spoken with Cinergy either. Would you call Jackie at Cinergy please. Also, the scheduling contact at TXU is Avila, his number is 214-875-9792, his aol id is avila4404. I gave the upstream information. He said that for the weekend the downstream k# is 1901. ",candidate00003
248,00138,candidate00003," and I were just looking at some of the invoices created for March activity and I noticed the sale to MidAmerican Energy was not in his stack of invoices to review. Would you see if we billed MidAmerican for March please? The deal number is 1199439, the volume is 310,000 dth and the price is $2.47 per dth. This was gas that the ENA Ontario desk had parked at . There are more notes at the bottom of this email. ",candidate00003
249,00139,candidate00003, http://hometown.aol.com/trogg522/myhomepage/index.html http://www.growingfamily.com/webnursery/babypage_view.asp?URLID=0U0X1E7K6M ,candidate00003
250,00140,candidate00003," At this point, just send everything to me and I'll work with our legal department. ",candidate00003
251,00141,candidate00003," These are my notes on flowing gas. Tetco will be the problem pipeline. I called my rep again and asked her to seriously look into it. I'm thinking worse case is they will need either cash or a letter of credit for about $1,000,000.00. I'm using the following formula MDQ (22,000 dth) x 20 days x $ some cashout price They may cut back on the number of days but the cashout price is the problem. It's a moving target and I expect prices to go up. I think that if we just agreed to give them a letter of credit for $1 mill and then prepay for any actual expenses we incur, we could build our reputation on the pipeline, at least until we get rid of these deals. If all the gas flows like it should, we should never have any actual expenses on any of these pipelines for the Keyspan deal. Who knows what volumes are going to be? ",candidate00003
252,00142,candidate00003, I think this will do for now. I was sniffling the other evening when we went out for a little drinky and Meredith said you wanted to work out instead of seeing me. I was so sad and heartbroken. Baby's doing good. Woman has not had any problems so far and she's starting to feel the baby move on a regular basis now. I've never felt the little sucker move - maybe she's just getting fat. What do you think? We keep loosing people. is moving to the Estate Team power dispatch group. Good for her. That will make her in expendable. how the heck are you? ,candidate00003
